id,name,total_number_of_students,students_at_this_campus,tuition_fees,medicine_health_science_per,natural_sciences_mathematics_per,law_economic_and_social_sciences_per,humanities_languages_per,engineering_science_incl_computer_science_per,other_studies_per,bachelors_degree_per,masters_degree_percentage_per,departments
2,Albert-Ludwigs-Universität Freiburg,24194,24194,There are no study fees.,0.153,0.187,0.262,0.217,0.085,0.096,0.424,0.239,"Biology / Bioscience, Business Administration, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Interdisciplinary programmes, Law, Mathematics, Medicine, Nursing Science, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
4,Ruprecht-Karls-Universität Heidelberg,28281,26469,There are no study fees.,0.151,0.262,0.226,0.292,0.031,0.038,0.443,0.211,"Biology / Bioscience, Chemistry, Computer Science (Medizinische Fakultät Heidelberg), Computer Science (Fakultät für Mathematik und Informatik), Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
6,Universität Hohenheim,8886,8886,There are no study fees.,0,0.068,0.51,0.013,0,0.408,0.608,0.374,"Biology / Bioscience, Biotechnology, Business Administration, Business Informatics, Chemical Engineering, Economic Sciences, Economics"
8,Karlsruher Institut für Technologie,24329,24329,There are no study fees.,0,0.17,0.144,0.036,0.62,0.029,0.568,0.376,"Architecture, Biology / Bioscience, Biotechnology, Business Informatics, Chemical Engineering, Chemistry, Civil Engineering, Computer Science, Education Science, Electrical / Information Engineering, Environmental Civil Engineering, Geography, Geoscience, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Physics, Sports Sciences"
10,Universität Konstanz,10983,10983,There are no study fees.,0.004,0.209,0.494,0.214,0.047,0.032,0.494,0.193,"Biology / Bioscience, Chemistry, Computer Science, Economic Sciences, English / North American Studies, German Language and Literature, Law, Mathematics, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
12,Universität Mannheim,11790,11790,There are no study fees.,0,0.042,0.66,0.177,0.06,0.062,0.579,0.268,"Business Administration, Business Informatics, Economics, English / North American Studies, German Language and Literature, Law, Political Science, Psychology, Romance Studies"
14,Universität Stuttgart,25245,25245,There are no study fees.,0,0.108,0.071,0.113,0.663,0.045,0.509,0.381,"Architecture, Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Civil Engineering, Computer Science, Education Science, Electrical / Information Engineering, English / North American Studies, Environmental Civil Engineering, Geoscience, German Language and Literature, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechanical Engineering, Mechatronics, Physics, Political Science, Process Engineering, Romance Studies, Sports Sciences"
16,Eberhard Karls Universität Tübingen,27205,27205,There are no study fees.,0.145,0.203,0.278,0.299,0.05,0.024,0.398,0.19,"Biology / Bioscience, Business Administration, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
18,Universität Ulm,10305,10305,There are no study fees.,0.315,0.307,0.192,0,0.185,0.002,0.415,0.267,"Biology / Bioscience, Biotechnology, Chemical Engineering, Chemistry, Computer Science, Dentistry, Economic Sciences, Electrical / Information Engineering, Interdisciplinary programmes, Mathematics, Medicine, Physics, Psychology"
22,Universität Augsburg,19657,19657,There are no study fees.,0,0.134,0.481,0.246,0.09,0.05,0.494,0.153,"Business Administration (Wirtschaftswissenschaftliche Fakultät), Business Administration (Wirtschaftswissenschaftliche Fakultät - FIM), Business Informatics, Computer Science, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Industrial Engineering, Law, Materials Science / Engineering, Mathematics, Physics, Political Science, Romance Studies, Sports Sciences"
24,Otto-Friedrich-Universität Bamberg,12503,12503,There are no study fees.,0,0.035,0.547,0.246,0.158,0.014,0.428,0.333,"Business Administration, Business Informatics, Computer Science, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Political Science, Psychology, Romance Studies"
26,Universität Bayreuth,13042,13042,There are no study fees.,0.034,0.223,0.469,0.156,0.091,0.027,0.527,0.277,"Biology / Bioscience, Biotechnology, Business Administration (Rechts- und Wirtschaftswissenschaftliche Fakultät - FIM), Business Administration (Rechts- und Wirtschaftswissenschaftliche Fakultät), Chemistry, Computer Science, Economics, Education Science, English / North American Studies, Environmental Engineering, Geography, Geoscience, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Law, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Physics, Process Engineering, Romance Studies, Sports Sciences"
28,Katholische Universität Eichstätt-Ingolstadt,4864,3931,There are no study fees.,0.015,0.145,0.449,0.348,0.002,0.041,0.488,0.187,"English / North American Studies, Geography, German Language and Literature, Mathematics, Nursing Science, Political Science, Psychology, Romance Studies, Social Policy and Social Work"
30,Friedrich-Alexander-Universität Erlangen-Nürnberg,37769,28538,There are no study fees.,0.128,0.179,0.196,0.116,0.353,0.028,0.412,0.252,"Biology / Bioscience, Biotechnology, Chemical Engineering, Chemistry, Computer Science, Dentistry, Education Science, Electrical / Information Engineering, English / North American Studies, Geography, Geoscience, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Law, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Medicine, Pharmacy, Physics, Political Science, Process Engineering, Psychology, Romance Studies, Sports Sciences"
32,Ludwig-Maximilians-Universität München,54745,51164,There are no study fees.,0.13,0.196,0.288,0.275,0.049,0.061,0.392,0.135,"Biology / Bioscience, Business Administration, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies"
34,Technische Universität München,40632,19494,There are no study fees.,0.182,0.019,0.269,0.001,0.47,0.059,0.412,0.413,"Architecture, Business Administration (Fakultät für Wirtschaftswissenschaften), Business Administration (Fakultät für Wirtschaftswissenschaften - FIM), Civil Engineering, Electrical / Information Engineering, Environmental Civil Engineering, Geoscience, Interdisciplinary programmes, Medicine, Political Science, Sports Sciences"
36,Universität der Bundeswehr München,3271,3271,There are no study fees.,0,0,0.479,0,0.457,0.064,0.785,0.213,"Business Informatics, Civil Engineering, Computer Science, Economic Sciences, Education Science, Electrical / Information Engineering, Mechanical Engineering, Psychology, Sports Sciences"
40,Universität Passau,12555,12555,There are no study fees.,0,0.052,0.411,0.326,0.2,0.011,0.452,0.173,"Business Administration, Business Informatics, Computer Science, Economics, English / North American Studies, Geography, German Language and Literature, Law, Mathematics, Political Science, Romance Studies, Sports Sciences"
42,Universität Regensburg,20731,20731,"max. 98,00",0.103,0.226,0.311,0.273,0.039,0.048,0.395,0.138,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
44,Julius-Maximilians-Universität Würzburg,27613,27613,There are no study fees.,0.122,0.241,0.329,0.209,0.074,0.024,0.386,0.135,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economic Sciences, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
46,Freie Universität Berlin,37483,37483,There are no study fees.,0,0.197,0.351,0.272,0.059,0.122,0.439,0.235,"Biology / Bioscience, Business Administration, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies (Fachbereich Philosophie und Geisteswissenschaften), English / North American Studies (John-F.-Kennedy-Institut für Nordamerikastudien), Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies"
48,Technische Universität Berlin,35436,35436,There are no study fees.,0,0.162,0.059,0.056,0.719,0.004,0.578,0.358,"Architecture, Biotechnology, Business Administration, Chemical Engineering, Chemistry, Civil Engineering, Computer Science, Economics, Electrical / Information Engineering, Environmental Engineering, Geoscience, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Physics, Process Engineering"
50,Humboldt-Universität zu Berlin,34732,34732,There are no study fees.,0,0.167,0.328,0.328,0.039,0.137,0.428,0.242,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Law, Mathematics, Medicine, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
52,ESCP Europe Wirtschaftshochschule Berlin,608,608,"min. 11.100,00",0,0,1,0,0,0,0.192,0.591,Business Administration
54,Brandenburgische Technische Universität Cottbus-Senftenberg,7276,6012,There are no study fees.,0,0.031,0.313,0.029,0.596,0.03,0.558,0.395,"Architecture, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Environmental Engineering, Geoscience, Industrial Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Physics, Process Engineering"
56,Europa-Universität Viadrina Frankfurt (Oder),6437,6437,There are no study fees.,0,0,0.609,0.391,0,0,0.487,0.24,"Business Administration, German Language and Literature, Law"
58,Universität Potsdam,20881,20881,There are no study fees.,0,0.194,0.363,0.301,0.07,0.071,0.428,0.219,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Economics, Education Science, English / North American Studies, Geography, Geoscience (Lehreinheit Geoökologie), Geoscience (Lehreinheit Geowissenschaften), German Language and Literature, Law, Mathematics, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
60,Universität Bremen,18946,18946,There are no study fees.,0.05,0.188,0.36,0.161,0.224,0.017,0.555,0.223,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Education Science, Electrical / Information Engineering, English / North American Studies, Geography, Geoscience, German Language and Literature, Industrial Engineering (Fachbereich 04: Produktionstechnik), Industrial Engineering (Fachbereich 01: Physik/Elektrotechnik), Law, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Nursing Science, Physics, Political Science, Psychology, Romance Studies"
61,Jacobs University Bremen gGmbH,1388,1388,no data,0,0.232,0.456,0.008,0.252,0.052,0.777,0.159,"Biology / Bioscience, Chemistry, Computer Science, Economic Sciences, Geoscience, Industrial Engineering, Interdisciplinary programmes, Mathematics, Physics, Political Science, Psychology"
62,Universität Hamburg,43211,43211,There are no study fees.,0.099,0.178,0.495,0.144,0.053,0.031,0.437,0.198,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Industrial Engineering, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
64,Technische Universität Hamburg,7812,7812,There are no study fees.,0,0.037,0.101,0,0.85,0.013,0.584,0.326,"Biotechnology, Biotechnology, Business Administration, Civil Engineering, Computer Science, Electrical / Information Engineering, Environmental Civil Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Process Engineering"
66,Helmut-Schmidt-Universität - Universität der Bundeswehr Hamburg,2775,2775,"min. 6.000,00",0.011,0,0.643,0.089,0.148,0.108,0.619,0.381,"Business Administration, Civil Engineering, Economics, Education Science, Electrical / Information Engineering, Industrial Engineering, Interdisciplinary programmes, Interdisciplinary programmes, Law, Mechanical Engineering, Mechatronics, Political Science, Psychology"
68,HafenCity Universität Hamburg,2321,2321,There are no study fees.,0,0,0,0.106,0.894,0,0.654,0.329,"Architecture, Civil Engineering"
69,Kühne Logistics University,301,301,"min. 5480,00",0,0,1,0,0,0,0.348,0.652,Business Administration
70,Technische Universität Darmstadt,25889,25889,There are no study fees.,0,0.165,0.109,0.05,0.669,0.006,0.591,0.348,"Architecture, Biology / Bioscience, Business Informatics, Chemistry, Civil Engineering, Computer Science, Education Science, Electrical / Information Engineering, Environmental Civil Engineering, Geoscience, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Materials Science / Engineering, Mathematics, Mechanical Engineering, Mechatronics, Physics, Political Science, Psychology, Sports Sciences"
72,Johann Wolfgang Goethe-Universität Frankfurt am Main,46482,46482,There are no study fees.,0.083,0.201,0.383,0.212,0.058,0.063,0.484,0.16,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economic Sciences, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
74,Justus-Liebig-Universität Giessen,28039,28039,There are no study fees.,0.107,0.174,0.334,0.144,0.015,0.227,0.362,0.173,"Biology / Bioscience, Business Administration, Chemistry, Dentistry, Economic Sciences, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Law, Mathematics, Medicine, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
76,Philipps-Universität Marburg,23939,23939,There are no study fees.,0.129,0.22,0.326,0.21,0.063,0.051,0.431,0.163,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
77,Hochschule Macromedia,3276,662,"min. 890,00",0,0,0.704,0,0,0.296,0.795,0.095,Business Administration
78,EBS Universität für Wirtschaft und Recht,2012,1556,"min. 6.950,00",0,0,1,0,0,0,0.377,0.549,Business Administration
80,Universität Greifswald,10179,10179,There are no study fees.,0.205,0.279,0.312,0.179,0,0.025,0.299,0.144,"Biology / Bioscience, Business Administration, Dentistry, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Pharmacy, Physics, Political Science, Psychology"
82,Universität Rostock,13322,13322,There are no study fees.,0.165,0.155,0.263,0.167,0.204,0.046,0.358,0.179,"Biology / Bioscience, Biotechnology, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economic Sciences, Economics, Education Science, Electrical / Information Engineering, English / North American Studies, Environmental Civil Engineering, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Mathematics, Mechanical Engineering, Mechatronics, Medicine, Physics, Political Science, Romance Studies, Sports Sciences"
84,Technische Universität Carolo-Wilhelmina zu Braunschweig,19980,19980,There are no study fees.,0,0.194,0.097,0.087,0.597,0.025,0.595,0.307,"Architecture, Biology / Bioscience, Biotechnology, Business Administration, Business Informatics, Chemistry, Civil Engineering, Computer Science, Education Science, Electrical / Information Engineering, English / North American Studies, Environmental Civil Engineering, Geoscience, German Language and Literature, Industrial Engineering (Fakultät für Architektur, Bauingenieurwesen und Umweltwissenschaften), Industrial Engineering (Fakultät für Maschinenbau), Industrial Engineering (Fakultät für Elektrotechnik, Informationstechnik, Physik), Mathematics, Mechanical Engineering, Mechatronics, Pharmacy, Physics, Political Science, Psychology, Sports Sciences"
86,Technische Universität Clausthal,4067,4067,There are no study fees.,0,0.105,0.183,0,0.713,0,0.594,0.406,"Business Administration, Business Informatics, Chemical Engineering, Chemistry, Computer Science, Electrical / Information Engineering, Geoscience, Industrial Engineering, Materials Science / Engineering, Mechanical Engineering"
88,Georg-August-Universität Göttingen,30524,30524,There are no study fees.,0.12,0.195,0.324,0.179,0.039,0.143,0.514,0.22,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Computer Science, Dentistry, Economics, Education Science, English / North American Studies, Geography, Geoscience, German Language and Literature, Law, Mathematics, Medicine, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
90,Gottfried Wilhelm Leibniz Universität Hannover,29676,29676,There are no study fees.,0,0.181,0.305,0.085,0.366,0.064,0.545,0.271,"Architecture, Biology / Bioscience, Biotechnology, Chemistry, Civil Engineering, Computer Science, Economic Sciences, Education Science, Electrical / Information Engineering, English / North American Studies, Geography, Geoscience (Fakultät für Bauingenieurwesen und Geodäsie), Geoscience (Naturwissenschaftliche Fakultät), German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Law, Mathematics, Mechanical Engineering, Mechatronics (Fakultät für Maschinenbau), Mechatronics (Fakultät für Elektrotechnik und Informatik), Physics, Political Science, Romance Studies, Sports Sciences"
91,Medizinische Hochschule Hannover (MHH),3552,3552,There are no study fees.,0.816,0.184,0,0,0,0,0,0.095,"Biology / Bioscience, Dentistry, Medicine"
92,Stiftung Tierärztliche Hochschule Hannover,2371,2371,There are no study fees.,0,0.019,0,0,0,0.981,0,0.027,Biology / Bioscience
96,Stiftung Universität Hildesheim,8251,8251,There are no study fees.,0,0.135,0.371,0.33,0.099,0.066,0.689,0.203,"Biology / Bioscience, Business Informatics, Chemistry, Computer Science, Economic Sciences, Education Science, Geography, Mathematics, Physics, Political Science, Psychology, Sports Sciences"
98,Leuphana Universität Lüneburg,9654,9654,There are no study fees.,0.006,0.137,0.481,0.224,0.111,0.041,0.551,0.226,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Commercial / Business Law, Economics, English / North American Studies, German Language and Literature, Industrial Engineering, Interdisciplinary programmes, Mathematics, Political Science, Psychology, Social Policy and Social Work, Sports Sciences"
100,Carl von Ossietzky Universität Oldenburg,15444,15444,There are no study fees.,0.019,0.266,0.336,0.2,0.106,0.073,0.632,0.198,"Biology / Bioscience, Business Informatics, Chemistry, Computer Science, Economic Sciences, Economics, Education Science, English / North American Studies, German Language and Literature, Mathematics, Medicine, Physics, Political Science, Psychology, Sports Sciences"
101,Universität Osnabrück,13988,13988,There are no study fees.,0.053,0.161,0.386,0.269,0.078,0.053,0.463,0.154,"Biology / Bioscience, Business Administration, Business Informatics, Chemistry, Commercial / Business Law, Computer Science, Economic Sciences, Economics, Education Science, English / North American Studies, Geography, German Language and Literature, Law, Mathematics, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
103,Universität Vechta,5119,5119,There are no study fees.,0,0.137,0.535,0.268,0,0.06,0.819,0.068,"Biology / Bioscience, Education Science, English / North American Studies, Geography, German Language and Literature, Mathematics, Social Policy and Social Work, Sports Sciences"
104,Rheinisch-Westfälische Technische Hochschule Aachen,45514,45514,There are no study fees.,0.064,0.16,0.068,0.05,0.657,0,0.555,0.321,"Architecture, Biology / Bioscience, Business Administration, Chemistry, Civil Engineering, Computer Science, Dentistry, Electrical / Information Engineering, English / North American Studies, Environmental Civil Engineering, Geography, Geoscience, German Language and Literature, Industrial Engineering (Fakultät für Georessourcen und Materialtechnik), Industrial Engineering (Fakultät für Elektrotechnik und Informationstechnik), Industrial Engineering (Fakultät für Maschinenwesen), Industrial Engineering (Fakultät für Bauingenieurwesen), Materials Science / Engineering, Mathematics, Mechanical Engineering, Medicine, Physics, Political Science, Psychology"
106,Universität Bielefeld,25086,25086,There are no study fees.,0.032,0.241,0.433,0.189,0.061,0.044,0.463,0.17,"Biology / Bioscience (Fakultät für Biologie), Biology / Bioscience (Technische Fakultät), Chemistry, Computer Science, Economic Sciences, Education Science, English / North American Studies, German Language and Literature, Law, Mathematics, Physics, Political Science, Psychology, Romance Studies, Sports Sciences"
108,Ruhr-Universität Bochum,43123,43123,There are no study fees.,0.073,0.147,0.28,0.274,0.187,0.039,0.442,0.206,"Biology / Bioscience, Chemistry, Civil Engineering, Commercial / Business Law, Computer Science, Economic Sciences, Education Science, Electrical / Information Engineering, English / North American Studies, Environmental Civil Engineering, Geography, Geoscience, German Language and Literature, Law, Materials Science / Engineering, Mathematics, Mechanical Engineering, Medicine, Physics, Political Science (Fakultät für Sozialwissenschaft), Political Science (Fakultät für Ostasienwissenschaften), Psychology, Romance Studies, Sports Sciences"
